	cancer_type	tumor_normal_residuals_corr	prot_RNA_tumor_normal_ratios_corr	above_reg_line_ACSS1_Normal	above_reg_line_ACSS1_Tumor	above_reg_line_C1orf116_Normal	above_reg_line_C1orf116_Tumor	above_reg_line_CARD9_Normal	above_reg_line_CARD9_Tumor	above_reg_line_CDKN2A_Normal	above_reg_line_CDKN2A_Tumor	above_reg_line_CFI_Normal	above_reg_line_CFI_Tumor	above_reg_line_DYNC1LI1_Normal	above_reg_line_DYNC1LI1_Tumor	above_reg_line_ECH1_Normal	above_reg_line_ECH1_Tumor	above_reg_line_ECT2_Normal	above_reg_line_ECT2_Tumor	above_reg_line_FAM57A_Normal	above_reg_line_FAM57A_Tumor	above_reg_line_GPCPD1_Normal	above_reg_line_GPCPD1_Tumor	above_reg_line_HPS3_Normal	above_reg_line_HPS3_Tumor	above_reg_line_IFT43_Normal	above_reg_line_IFT43_Tumor	above_reg_line_IMPDH1_Normal	above_reg_line_IMPDH1_Tumor	above_reg_line_IMPDH2_Normal	above_reg_line_IMPDH2_Tumor	above_reg_line_MBNL2_Normal	above_reg_line_MBNL2_Tumor	above_reg_line_MFSD4A_Normal	above_reg_line_MFSD4A_Tumor	above_reg_line_NELL1_Normal	above_reg_line_NELL1_Tumor	above_reg_line_PPM1L_Normal	above_reg_line_PPM1L_Tumor	above_reg_line_RIPK3_Normal	above_reg_line_RIPK3_Tumor	above_reg_line_RNASET2_Normal	above_reg_line_RNASET2_Tumor	above_reg_line_SLC1A5_Normal	above_reg_line_SLC1A5_Tumor	above_reg_line_TALDO1_Normal	above_reg_line_TALDO1_Tumor	above_reg_line_THADA_Normal	above_reg_line_THADA_Tumor	above_reg_line_TXLNG_Normal	above_reg_line_TXLNG_Tumor	above_reg_line_USP7_Normal	above_reg_line_USP7_Tumor	tumor_normal_residual_diff_ACSS1	tumor_normal_residual_diff_C1orf116	tumor_normal_residual_diff_CARD9	tumor_normal_residual_diff_CDKN2A	tumor_normal_residual_diff_CFI	tumor_normal_residual_diff_DYNC1LI1	tumor_normal_residual_diff_ECH1	tumor_normal_residual_diff_ECT2	tumor_normal_residual_diff_FAM57A	tumor_normal_residual_diff_GPCPD1	tumor_normal_residual_diff_HPS3	tumor_normal_residual_diff_IFT43	tumor_normal_residual_diff_IMPDH1	tumor_normal_residual_diff_IMPDH2	tumor_normal_residual_diff_MBNL2	tumor_normal_residual_diff_MFSD4A	tumor_normal_residual_diff_NELL1	tumor_normal_residual_diff_PPM1L	tumor_normal_residual_diff_RIPK3	tumor_normal_residual_diff_RNASET2	tumor_normal_residual_diff_SLC1A5	tumor_normal_residual_diff_TALDO1	tumor_normal_residual_diff_THADA	tumor_normal_residual_diff_TXLNG	tumor_normal_residual_diff_USP7
C3N-00383	endometrial	0.1603802241196009	0.04363602974728059	True	True	True	True	False	False	True	False	False	True	True	True	True	True	True	False			True	True	True	False	False	True	False	False	False	True	True	True					False	False	True	True			False	False	False	True	True	False	True	True	False	False	-0.02535287902334893	-0.23531971766951365	-0.0993843147151511	-0.59311422175854	0.385528958012175	0.26508120232507626	0.15900612921195856	-0.1994575601223037		-0.010039719688492404	-0.02860426618552149	0.29116943227269954	0.0190642682469087	0.22911331456494993	-0.1756409363258562			0.2273056774716781	0.023639214531557817		0.34827158034993566	0.06123837760169221	0.014040413333986798	0.052118159956753105	0.18743777511404838
C3N-00858	endometrial	0.09084221334221335	-0.02752955635348203	True	True	False	True	True	False	True	True	True	False	False	True	False	False	True	True			True	True	False	True	True	True	True	False	True	True	True	False					False	True	False	False			True	True	False	False	True	True	True	False	True	True	0.38207717886389964	-0.0626378848848448	-0.3787699730762059	0.2097782913452474	-0.041645754439723015	-0.035196312795079704	-0.1933780859368792	0.06393816025569338		0.1712858596693766	-0.0352820715941859	0.2340994547147823	0.04962758807949991	0.0089948988151145	0.090285391312247			0.1026245089710139	0.12339447947199189		-0.40472473481087795	-0.1257268651171457	0.0718356482390019	0.044027853692062	-0.0172574686729729
C3N-00866	endometrial	0.18562023700275307	-0.05417937299051569	True	True	False	True	True	False	False	False	True	True	True	False	False	True	False	True			False	False	False	True	False	True	False	False	False	True	True	True					False	True	True	True			True	True	False	True	True	True	True	True	True	True	0.1853095641296139	-0.0106907058577594	-0.1063464516830811	-0.10238542123701772	0.07702835444356027	-0.0183022949746025	0.5256492390981327	0.0791829049186496		-0.31835312818947303	0.038160852362876	0.1347187921933031	0.013579779819406002	-0.0861000214638884	-0.1822743921109174			0.358384145125654	-0.03494280750897899		-0.25062713329779146	0.1742284571961522	-0.06482647106171752	0.0925363351175722	0.09047931258404829
C3N-01346	endometrial	0.26621034867499777	-0.11677837351191213	False	False	False	False	False	False	False	True	True	True	True	True	True	False	False	True			False	True	False	True	True	False	False	False	True	False	False	False					False	False	True	True			False	False	False	False	True	False	True	True	False	False	-0.06358852025291062	0.32023276657239114	-0.2075668730788838	0.4964959597538301	0.022230713051080403	0.23505112960670088	0.0989190281746602	-0.2242778379221227		-0.3167695893069667	0.1992059893253142	-0.0622263844381391	0.4063969887555901	-0.0114292848646067	0.0436980724930463			-0.055233200347506006	0.010741814547145012		-0.28691345889828096	0.03488884998034769	0.1588859257815056	0.04829457599206931	-0.0949830916230536
C3L-00994	hnscc	-0.006795530051344005	0.737882742487362							True	True																																																																			
C3L-00995	hnscc	0.16975023126734506	0.5923004073302404							True	True																																																																			
C3L-00997	hnscc	0.037068357998590554	0.6757006417387409							False	False																																														0.0091459454770743																					
C3L-00999	hnscc	0.38612395929694726	0.6342983589923541							False	False																																														0.16082303376919072																					
C3L-01237	hnscc	0.07959183673469387	0.72847269149444							True	True																																																																			
C3L-02617	hnscc	0.6219512195121951	0.6331160830089128							True	True																																																																			
